Span Loc(m)	Chord(m)	IB Height(m)	IB Width(m)	Web Height(m)	Web Width(m)	IB Area(m2)	Moment(Nm)	Wing Weight(N/m)
1.386000	0.499622	0.037472	0.066450	0.030226	0.001000	0.000512	489.538122	22.952808
1.388000	0.499562	0.037467	0.066442	0.030231	0.001000	0.000511	488.886736	22.932976
1.390000	0.499502	0.037463	0.066434	0.030236	0.001000	0.000510	488.235838	22.913164
1.392000	0.499442	0.037458	0.066426	0.030241	0.001000	0.000510	487.585429	22.893373
1.394000	0.499382	0.037454	0.066418	0.030247	0.001000	0.000509	486.935510	22.873602
1.396000	0.499321	0.037449	0.066410	0.030252	0.001000	0.000508	486.286080	22.853852
1.398000	0.499261	0.037445	0.066402	0.030257	0.001000	0.000508	485.637139	22.834122
1.400000	0.499200	0.037440	0.066394	0.030262	0.001000	0.000507	484.988687	22.814412
1.402000	0.499139	0.037435	0.066386	0.030267	0.001000	0.000506	484.340724	22.794723
1.404000	0.499078	0.037431	0.066377	0.030272	0.001000	0.000505	483.693249	22.775054
1.406000	0.499018	0.037426	0.066369	0.030277	0.001000	0.000505	483.046264	22.755406
1.408000	0.498957	0.037422	0.066361	0.030282	0.001000	0.000504	482.399767	22.735777
1.410000	0.498895	0.037417	0.066353	0.030287	0.001000	0.000503	481.753759	22.716169
1.412000	0.498834	0.037413	0.066345	0.030292	0.001000	0.000503	481.108239	22.696582
1.414000	0.498773	0.037408	0.066337	0.030297	0.001000	0.000502	480.463208	22.677014
1.416000	0.498712	0.037403	0.066329	0.030302	0.001000	0.000501	479.818666	22.657466
1.418000	0.498650	0.037399	0.066320	0.030307	0.001000	0.000501	479.174612	22.637939
1.420000	0.498589	0.037394	0.066312	0.030312	0.001000	0.000500	478.531046	22.618432
1.422000	0.498527	0.037390	0.066304	0.030317	0.001000	0.000499	477.887969	22.598944
1.424000	0.498465	0.037385	0.066296	0.030322	0.001000	0.000499	477.245380	22.579477
1.426000	0.498403	0.037380	0.066288	0.030327	0.001000	0.000498	476.603279	22.560030
1.428000	0.498341	0.037376	0.066279	0.030332	0.001000	0.000497	475.961667	22.540602
1.430000	0.498279	0.037371	0.066271	0.030337	0.001000	0.000497	475.320542	22.521195
1.432000	0.498217	0.037366	0.066263	0.030341	0.001000	0.000496	474.679906	22.501807
1.434000	0.498155	0.037362	0.066255	0.030346	0.001000	0.000495	474.039757	22.482439
1.436000	0.498093	0.037357	0.066246	0.030351	0.001000	0.000494	473.400096	22.463091
1.438000	0.498030	0.037352	0.066238	0.030356	0.001000	0.000494	472.760923	22.443763
1.440000	0.497968	0.037348	0.066230	0.030360	0.001000	0.000493	472.122238	22.424454
1.442000	0.497905	0.037343	0.066221	0.030365	0.001000	0.000492	471.484041	22.405165
1.444000	0.497843	0.037338	0.066213	0.030370	0.001000	0.000492	470.846331	22.385896
1.446000	0.497780	0.037333	0.066205	0.030375	0.001000	0.000491	470.209109	22.366646
1.448000	0.497717	0.037329	0.066196	0.030379	0.001000	0.000490	469.572375	22.347416
1.450000	0.497654	0.037324	0.066188	0.030384	0.001000	0.000490	468.936128	22.328206
1.452000	0.497591	0.037319	0.066180	0.030389	0.001000	0.000489	468.300368	22.309015
1.454000	0.497528	0.037315	0.066171	0.030393	0.001000	0.000488	467.665096	22.289844
1.456000	0.497464	0.037310	0.066163	0.030398	0.001000	0.000488	467.030311	22.270692
1.458000	0.497401	0.037305	0.066154	0.030402	0.001000	0.000487	466.396013	22.251559
1.460000	0.497338	0.037300	0.066146	0.030407	0.001000	0.000486	465.762202	22.232446
1.462000	0.497274	0.037296	0.066137	0.030411	0.001000	0.000486	465.128879	22.213352
1.464000	0.497210	0.037291	0.066129	0.030416	0.001000	0.000485	464.496042	22.194278
1.466000	0.497147	0.037286	0.066120	0.030421	0.001000	0.000484	463.863693	22.175223
1.468000	0.497083	0.037281	0.066112	0.030425	0.001000	0.000484	463.231830	22.156187
1.470000	0.497019	0.037276	0.066104	0.030429	0.001000	0.000483	462.600454	22.137171
1.472000	0.496955	0.037272	0.066095	0.030434	0.001000	0.000482	461.969565	22.118173
1.474000	0.496891	0.037267	0.066086	0.030438	0.001000	0.000482	461.339163	22.099195
1.476000	0.496826	0.037262	0.066078	0.030443	0.001000	0.000481	460.709247	22.080236
1.478000	0.496762	0.037257	0.066069	0.030447	0.001000	0.000480	460.079818	22.061296
1.480000	0.496698	0.037252	0.066061	0.030452	0.001000	0.000480	459.450876	22.042376
1.482000	0.496633	0.037247	0.066052	0.030456	0.001000	0.000479	458.822420	22.023474
1.484000	0.496569	0.037243	0.066044	0.030460	0.001000	0.000478	458.194450	22.004591
1.486000	0.496504	0.037238	0.066035	0.030465	0.001000	0.000478	457.566967	21.985727
1.488000	0.496439	0.037233	0.066026	0.030469	0.001000	0.000477	456.939970	21.966883
1.490000	0.496374	0.037228	0.066018	0.030473	0.001000	0.000476	456.313459	21.948057
1.492000	0.496309	0.037223	0.066009	0.030477	0.001000	0.000476	455.687435	21.929250
1.494000	0.496244	0.037218	0.066000	0.030482	0.001000	0.000475	455.061896	21.910462
1.496000	0.496179	0.037213	0.065992	0.030486	0.001000	0.000474	454.436844	21.891693
1.498000	0.496114	0.037209	0.065983	0.030490	0.001000	0.000474	453.812277	21.872942
1.500000	0.496048	0.037204	0.065974	0.030494	0.001000	0.000473	453.188197	21.854211
1.502000	0.495983	0.037199	0.065966	0.030499	0.001000	0.000472	452.564602	21.835498
1.504000	0.495917	0.037194	0.065957	0.030503	0.001000	0.000472	451.941493	21.816804
1.506000	0.495852	0.037189	0.065948	0.030507	0.001000	0.000471	451.318870	21.798128
1.508000	0.495786	0.037184	0.065940	0.030511	0.001000	0.000471	450.696732	21.779472
1.510000	0.495720	0.037179	0.065931	0.030515	0.001000	0.000470	450.075080	21.760833
1.512000	0.495654	0.037174	0.065922	0.030519	0.001000	0.000469	449.453913	21.742214
1.514000	0.495588	0.037169	0.065913	0.030523	0.001000	0.000469	448.833232	21.723613
1.516000	0.495522	0.037164	0.065904	0.030527	0.001000	0.000468	448.213037	21.705030
1.518000	0.495456	0.037159	0.065896	0.030531	0.001000	0.000467	447.593326	21.686466
1.520000	0.495389	0.037154	0.065887	0.030535	0.001000	0.000467	446.974101	21.667921
1.522000	0.495323	0.037149	0.065878	0.030539	0.001000	0.000466	446.355361	21.649394
1.524000	0.495257	0.037144	0.065869	0.030543	0.001000	0.000465	445.737106	21.630885
1.526000	0.495190	0.037139	0.065860	0.030547	0.001000	0.000465	445.119337	21.612395
1.528000	0.495123	0.037134	0.065851	0.030551	0.001000	0.000464	444.502052	21.593923
1.530000	0.495056	0.037129	0.065842	0.030555	0.001000	0.000463	443.885252	21.575470
1.532000	0.494989	0.037124	0.065834	0.030559	0.001000	0.000463	443.268937	21.557034
1.534000	0.494922	0.037119	0.065825	0.030563	0.001000	0.000462	442.653107	21.538617
1.536000	0.494855	0.037114	0.065816	0.030567	0.001000	0.000461	442.037762	21.520219
1.538000	0.494788	0.037109	0.065807	0.030571	0.001000	0.000461	441.422901	21.501838
1.540000	0.494721	0.037104	0.065798	0.030575	0.001000	0.000460	440.808525	21.483476
1.542000	0.494654	0.037099	0.065789	0.030578	0.001000	0.000460	440.194633	21.465132
1.544000	0.494586	0.037094	0.065780	0.030582	0.001000	0.000459	439.581226	21.446805
1.546000	0.494518	0.037089	0.065771	0.030586	0.001000	0.000458	438.968303	21.428497
1.548000	0.494451	0.037084	0.065762	0.030590	0.001000	0.000458	438.355865	21.410208
1.550000	0.494383	0.037079	0.065753	0.030594	0.001000	0.000457	437.743911	21.391936
1.552000	0.494315	0.037074	0.065744	0.030597	0.001000	0.000456	437.132441	21.373682
1.554000	0.494247	0.037069	0.065735	0.030601	0.001000	0.000456	436.521455	21.355446
1.556000	0.494179	0.037063	0.065726	0.030605	0.001000	0.000455	435.910953	21.337228
1.558000	0.494111	0.037058	0.065717	0.030608	0.001000	0.000454	435.300936	21.319028
1.560000	0.494043	0.037053	0.065708	0.030612	0.001000	0.000454	434.691402	21.300846
1.562000	0.493974	0.037048	0.065699	0.030616	0.001000	0.000453	434.082352	21.282681
1.564000	0.493906	0.037043	0.065689	0.030619	0.001000	0.000453	433.473786	21.264535
1.566000	0.493837	0.037038	0.065680	0.030623	0.001000	0.000452	432.865704	21.246406
1.568000	0.493769	0.037033	0.065671	0.030627	0.001000	0.000451	432.258105	21.228295
1.570000	0.493700	0.037027	0.065662	0.030630	0.001000	0.000451	431.650990	21.210202
1.572000	0.493631	0.037022	0.065653	0.030634	0.001000	0.000450	431.044358	21.192127
1.574000	0.493562	0.037017	0.065644	0.030637	0.001000	0.000449	430.438210	21.174069
1.576000	0.493493	0.037012	0.065635	0.030641	0.001000	0.000449	429.832546	21.156029
1.578000	0.493424	0.037007	0.065625	0.030644	0.001000	0.000448	429.227364	21.138006
1.580000	0.493355	0.037002	0.065616	0.030648	0.001000	0.000448	428.622666	21.120001
1.582000	0.493285	0.036996	0.065607	0.030651	0.001000	0.000447	428.018452	21.102014
1.584000	0.493216	0.036991	0.065598	0.030655	0.001000	0.000446	427.414720	21.084044
1.586000	0.493147	0.036986	0.065588	0.030658	0.001000	0.000446	426.811471	21.066092
1.588000	0.493077	0.036981	0.065579	0.030662	0.001000	0.000445	426.208706	21.048158
1.590000	0.493007	0.036976	0.065570	0.030665	0.001000	0.000444	425.606423	21.030240
1.592000	0.492937	0.036970	0.065561	0.030668	0.001000	0.000444	425.004623	21.012341
1.594000	0.492867	0.036965	0.065551	0.030672	0.001000	0.000443	424.403306	20.994458
1.596000	0.492797	0.036960	0.065542	0.030675	0.001000	0.000443	423.802471	20.976593
1.598000	0.492727	0.036955	0.065533	0.030678	0.001000	0.000442	423.202120	20.958745
1.600000	0.492657	0.036949	0.065523	0.030682	0.001000	0.000441	422.602251	20.940915
1.602000	0.492587	0.036944	0.065514	0.030685	0.001000	0.000441	422.002864	20.923102
1.604000	0.492516	0.036939	0.065505	0.030688	0.001000	0.000440	421.403960	20.905306
1.606000	0.492446	0.036933	0.065495	0.030692	0.001000	0.000439	420.805538	20.887528
1.608000	0.492375	0.036928	0.065486	0.030695	0.001000	0.000439	420.207599	20.869767
1.610000	0.492305	0.036923	0.065477	0.030698	0.001000	0.000438	419.610141	20.852022
1.612000	0.492234	0.036918	0.065467	0.030701	0.001000	0.000438	419.013166	20.834295
1.614000	0.492163	0.036912	0.065458	0.030705	0.001000	0.000437	418.416673	20.816586
1.616000	0.492092	0.036907	0.065448	0.030708	0.001000	0.000436	417.820662	20.798893
1.618000	0.492021	0.036902	0.065439	0.030711	0.001000	0.000436	417.225133	20.781217
1.620000	0.491950	0.036896	0.065429	0.030714	0.001000	0.000435	416.630086	20.763559
1.622000	0.491878	0.036891	0.065420	0.030717	0.001000	0.000435	416.035521	20.745917
1.624000	0.491807	0.036886	0.065410	0.030720	0.001000	0.000434	415.441438	20.728293
1.626000	0.491736	0.036880	0.065401	0.030723	0.001000	0.000433	414.847836	20.710685
1.628000	0.491664	0.036875	0.065391	0.030726	0.001000	0.000433	414.254716	20.693094
1.630000	0.491592	0.036869	0.065382	0.030730	0.001000	0.000432	413.662077	20.675521
1.632000	0.491521	0.036864	0.065372	0.030733	0.001000	0.000432	413.069920	20.657964
1.634000	0.491449	0.036859	0.065363	0.030736	0.001000	0.000431	412.478244	20.640424
1.636000	0.491377	0.036853	0.065353	0.030739	0.001000	0.000430	411.887050	20.622901
1.638000	0.491305	0.036848	0.065344	0.030742	0.001000	0.000430	411.296336	20.605395
1.640000	0.491232	0.036842	0.065334	0.030745	0.001000	0.000429	410.706104	20.587905
1.642000	0.491160	0.036837	0.065324	0.030748	0.001000	0.000429	410.116354	20.570432
1.644000	0.491088	0.036832	0.065315	0.030750	0.001000	0.000428	409.527084	20.552977
1.646000	0.491015	0.036826	0.065305	0.030753	0.001000	0.000427	408.938295	20.535537
1.648000	0.490943	0.036821	0.065295	0.030756	0.001000	0.000427	408.349987	20.518115
1.650000	0.490870	0.036815	0.065286	0.030759	0.001000	0.000426	407.762160	20.500709
1.652000	0.490797	0.036810	0.065276	0.030762	0.001000	0.000426	407.174813	20.483319
1.654000	0.490724	0.036804	0.065266	0.030765	0.001000	0.000425	406.587948	20.465947
